"","state","zip_code","kw_potential_for_median_house","yearly_solar_kwh_produced","estimated_avg_carbon_offset","estimated_percent_of_houses_qualified","num_customers","average_installation_cost","avg_house_price","average_monthly_consumption","price_per_kwh","impact","economical","savings","naive_model"
"3358","Washington",99027,10,11379.1956,12551.69983,93.1743757421816,3345,10390,605400,984,0.1,0.00225921993831432,0.344139593564473,-0.0162442905621341,0.115754440503288
"3359","Illinois",60526,7.75,8463.368652,44455.39276,85.1457561887818,3572,12388,266800,728,0.13,0.00819971156467572,0.335354470102278,-0.0134264333183983,0.115745053147633
"3360","Delaware",19808,9.25,11032.35295,128071.8596,88.6695016221435,11188,11322,375000,950,0.13,0.00724228433929929,0.340880146116566,-0.0181057264241338,0.115706120248424
"3361","Georgia",31206,9.75,12393.22537,188929.4822,79.6597164599434,9652,11722,389500,1072,0.13,0.0137845389889813,0.339335086463971,-0.0231845098667399,0.115677514779753
"3362","Texas",77003,10,12650.32235,75815.14466,94.9454277446488,3451,10967,336400,1094,0.12,0.0129803240483455,0.338500314382923,-0.021714892501021,0.115618132616547
"3363","Massachusetts",2126,6,6931.802295,21109.75914,80.5735617848079,3773,12166,595700,596,0.23,0.00389540387520048,0.344963341927986,-0.0191858984017203,0.1155855617551
"3364","New Jersey",7087,7,7946.595215,48495.11013,89.3872902330225,5817,10745,485900,687,0.16,0.00523204770965502,0.342426404605612,-0.0180264185427537,0.11557125221682
"3365","Michigan",48601,7.25,7798.655786,214832.1504,90.1548598880401,12097,11855,238800,670,0.18,0.0110504772165373,0.334619157970337,-0.0164570092281481,0.115424204960295
"3366","New Jersey",7701,7,7925.434967,52266.65592,82.53152765735,5231,10745,485900,687,0.16,0.00679154670478983,0.341493179929436,-0.0193089920121633,0.115341149232658
"3367","New York",11040,5.75,6919.150244,81401.08659,84.0373975604614,11047,11766,649000,599,0.19,0.00491883024275583,0.343392405686165,-0.0193510601865171,0.11533569418272
"3368","Michigan",48082,7.25,7834.452905,61612.7598,82.9893408334955,6399,11855,238800,670,0.18,0.00650855858638939,0.336237966448549,-0.0140160411686275,0.115255162635345
"3369","Kansas",66604,8.25,10321.00547,124371.107,93.384228772895,8946,9881,263700,890,0.13,0.00835152241203362,0.337737848458306,-0.0176796107787088,0.115142714679874
"3370","Washington",99206,10,11333.24745,59242.34399,82.2981607080902,11192,10390,605400,984,0.1,0.0036081367084636,0.342724793310002,-0.0179849329142006,0.115121060152829
"3371","Ohio",43615,9.25,10155.59995,183477.3649,71.8411513856185,9822,10656,228000,879,0.13,0.0145867272240635,0.333064397025256,-0.0193247516989907,0.115113478435881
"3372","Washington",98467,12,11347.69839,14398.92322,89.4747301992688,3656,10390,605400,984,0.1,0.00246928951682324,0.34316975559008,-0.0174374915440655,0.115069716042645
"3373","Missouri",64158,9.5,12059.96394,22116.42411,99.1301825043432,1357,10701,243500,1039,0.11,0.00922311741335496,0.33570580314797,-0.0170032815668757,0.114972978502278
